Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Olmy HCT 40MG+25MG 30 Comprimidos,7894916510431,EMS,,89.96,77.68,14.0%,Santo Remedio,Sudeste,Sao Paulo
Carvedilol 25mg 30 Comprimidos Legrand,7894916146449,LEGRAND GENERICOS,"Indicação: O carvedilol é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hi pertensivos, especialmente diuréticos tiazídicos. Angina do peito: o carvedilol demonstrou eficácia clínica no controle das crises de angina do peito. Dados preliminares de estudos indicaram eficácia e segurança do uso do carvedilol em pacientes com angina instável e isquemia silenciosa do miocárdio. Insuficiência cardíaca congestiva: o carvedilol é indicado para tratamento de pacientes com insuficiência cardíaca congestiva leve, moderada e grave, de etiologia isquêmica e não isquêmica. Em adição à terapia padrão (inibidores da enzima conversora de angiotensina, diuréticos e digital opcional), o carvedilol de mostrou reduzir a morbidade (hospitalizações cardiovasculares e melhora do bem estar do paciente) e a mortalidade, bem como a progressão a doença. Pode ser usado como adjunto à terapia padrão, em pacientes incapazes de tolerar inibidores da ECA e também em pacientes que não estejam recebendo tratamento com digitálicos, hidralazina ou nitratos. De acordo com os resultados de um estudo (Copernicus), o carvedilol é eficaz e bem tolerado em pacientes com insuficiência cardíaca crônica grave.
Contraindicação: O carvedilol é contraindicado em paciente com: hipersensibilidade conhecida ao carvedilol ou a qualquer dos componentes do produto; insuficiência cardíaca descompensada, que exija terapia inotrópica intravenosa; insuficiência hepática clinicamente manifesta; Como com qualquer outro beta bloqueador, carvedilol não deve ser usado em pacientes com asma brônquica ou doença pulmonar obstrutiva crônica (DPOC) com componente broncoespástico; bloqueio AV de segundo ou terceiro grau; bradicardia grave (< 50 bpm); síndrome do nó sinusal (incluindo bloqueio sinoatrial); choque cardiogênico; hipotensão grave (pressão arterial sistólica < 85 mHg).
VENDA SOB PRESCRIÇÃO MÉDICA; NÃO UTILIZE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA, PODE SER PERIGOSO PARA SUA SAÚDE.",110.35,15.34,86.0%,Santo Remedio,Sudeste,Sao Paulo
Sinvastatina 40mg 30 Comprimidos Cimed,7896523215273,CIMED,"A sinvastatina é indicado para reduzir os riscos à saúde decorrentes das doenças cardiovasculares. Se você tem doença arterial coronariana (DAC), diabetes, já teve derrame ou outra doença vascular (independentemente dos níveis sanguíneos do seu colesterol), sinvastatina: • pode prolongar sua vida ao reduzir o risco de infarto do miocárdio (ataque cardíaco) ou de derrame; • reduz a necessidade de cirurgia para melhorar o fluxo sanguíneo nas pernas e nos órgãos essenciais, tal como o coração; • reduz a necessidade de hospitalização por dor no peito (conhecida como angina). A sinvastatina reduz os níveis de colesterol no sangue. O colesterol pode causar doença arterial coronariana (DAC) ao estreitar os vasos sanguíneos que transportam oxigênio e nutrientes para o coração. Esse entupimento, ou endurecimento das artérias, é denominado aterosclerose. A aterosclerose pode causar dor no peito (conhecida como angina) e infarto do miocárdio (ataque cardíaco). A sinvastatina também retarda a progressão da aterosclerose e reduz o desenvolvimento de mais aterosclerose.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. SINVASTATINA 40MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99.",59.28,20.27,66.0%,Santo Remedio,Sudeste,Sao Paulo
Metronidazol 100mg/ml Gel Vaginal 50g+10 Aplicadores Nova Química,7895296279017,NOVA QUIMICA,,36.67,33.45,9.0%,Santo Remedio,Sudeste,Sao Paulo
Maleato de Enalapril 20mg 30 Comprimidos Cimed,7896523210773,CIMED,,7.1,7.1,,Santo Remedio,Sudeste,Sao Paulo
"Puran T4 37,5Mcg 30Comprimidos",7891058003562,AVENTIS - OL,"Para que serve o Puran T4?Este medicamento é destinado à:Terapia de reposição ou suplementação hormonal (de hormônio) em pacientes com hipotireoidismo (produção insuficiente de hormônio pela glândula tireoide) de qualquer causa (exceto no hipotireoidismo transitório, durante a fase de recuperação de tireoidite subaguda-doença inflamatória da glândula tireoide). Nesta categoria incluem-se: cretinismo (condição que ocorre na infância ou na fase de amamentação devido à deficiência de hormônios da tireoide na fase fetal), mixedema (associado ao hipotireoidismo, é caracterizado pela pele seca e áspera, lábios inchados e nariz espessado) e hipotireoidismo comum em pacientes de qualquer idade (crianças, adultos e idosos) ou fase (por exemplo, gravidez); hipotireoidismo primário resultante de redução da função da tireoide; diminuição primária da tireoide; remoção total ou parcial da glândula tireoide, com ou sem bócio (aumento perceptível da tireoide); hipotireoidismo secundário (da glândula hipófise) ou terciário (do hipotálamo, que é uma região do cérebro que controla o sistema endócrino).Supressão do TSH hipofisário (hormônio estimulante da tireoide ou tireotropina) no tratamento ou prevenção dos vários tipos de bócios eutireoidianos (bócio decorrente do aumento de TSH), inclusive nódulos tireoidianos, tireoidite linfocítica subaguda ou crônica (tireoidite de Hashimoto/tireoidite autoimune) e carcinomas foliculares e papilares (tumores malignos) da tireoide dependentes de tireotropina.Ao diagnóstico nos testes de supressão, auxiliando no diagnóstico da suspeita de hipertireoidismo (produção excessiva de hormônio pela glândula tireoide) leve ou de glândula tireoide autônoma.Como usar o Puran T4?USO ORAL.USO ADULTO E PEDIÁTRICO.As doses administradas de PURAN T4 variam de acordo com o grau de hipotireoidismo, a idade do paciente e a tolerabilidade individual. A fim de se adaptar a posologia, é recomendável antes de iniciar o tratamento efetuar as dosagens do (T3), (T4) e do TSH.Você deve tomar os comprimidos com líquido, por via oral.Uso adultoHipotireoidismo:PURAN T4 deve ser administrado em doses baixas (50 mcg/dia) que serão aumentadas de acordo com as condições cardiovasculares do paciente.Dose inicial:50 mcg/dia, aumentando-se 25 mcg a cada 2 ou 3 semanas até que o efeito desejado seja alcançado. Em pacientes com hipotireoidismo de longa data, particularmente com suspeita de alterações cardiovasculares, a dose inicial deverá ser ainda mais baixa (25 mcg/dia).Manutenção:recomenda-se 75 a 125 mcg diários sendo que alguns pacientes, com má absorção, podem necessitar de até 200 mcg/dia. A maioria dos pacientes não exige doses superiores a 150 mcg/dia. A falta de resposta às doses de 200 mcg/dia sugere má absorção, não obediência ao tratamento ou erro diagnóstico.Supressão do TSH (câncer de tireoide) / nódulos / bócios eutireoidianos em adultos:Dose supressiva média de levotiroxina (T4): 2,6 mcg/kg/dia, durante 7 a 10 dias. Essa dose geralmente é suficiente para obter normalização dos níveis de T3 e T4 no organismo e falta de resposta à ação do TSH. A levotiroxina sódica deve ser empregada com cautela em pacientes com suspeita de glândula tireoide independente, considerando que a ação dos hormônios exógenos (de origem externa ao organismo) pode somar-se aos hormônios de fonte endógena (originários do organismo).Uso pediátricoNo recém-nascido, a posologia inicial deverá ser de 5 a 6 mcg/kg/dia em função da dosagem dos hormônios circulantes. Na criança a posologia deve ser estabelecida em função dos resultados das dosagens hormonais e em geral é de 3 mcg/kg/dia.Os comprimidos de PURAN T4 devem ser ingeridos com estômago vazio (1 hora antes ou 2 horas após o café da manhã ou ingestão de alimento), a fim de aumentar sua absorção.Para as crianças com dificuldades de ingerir os comprimidos, estes devem ser triturados e dissolvidos em pequena quantidade de água. Esta suspensão pode ser administrada em colher ou conta-gotas. Os comprimidos triturados podem também ser administrados com pequenas quantidades de alimentos (cereais, sucos, etc.). Esta suspensão preparada não pode ser guardada para uso posterior.Não há estudos dos efeitos de PURAN T4 administrado por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral, conforme recomendado pelo médico.Pacientes idososNo idoso, a integridade do sistema cardiovascular pode estar comprometida. Por isso, neste paciente a terapia com PURAN T4 deve ser iniciada com doses baixas, como por exemplo: 25-50 mcg/dia.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico.Quando não devo usar o Puran T4?PURAN T4 não deve ser utilizado em caso de: hipersensibilidade (alergia) aos componentes da fórmula, infarto do miocárdio recente, tireotoxicose não tratada (síndrome clínica, não tratada, resultante de níveis elevados de hormônio da tireoide), insuficiência suprarrenal (da glândula localizada sobre os rins) descompensada e hipertireoidismo não tratado.Não há contraindicação relativa a faixas etárias.PURAN T4 125MCG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",11.15,9.64,14.0%,Santo Remedio,Sudeste,Sao Paulo
Carvedilol 25mg 60 Comprimidos Legrand,7894916147965,LEGRAND GENERICOS,"Indicação: O carvedilol é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hi pertensivos, especialmente diuréticos tiazídicos. Angina do peito: o carvedilol demonstrou eficácia clínica no controle das crises de angina do peito. Dados preliminares de estudos indicaram eficácia e segurança do uso do carvedilol em pacientes com angina instável e isquemia silenciosa do miocárdio. Insuficiência cardíaca congestiva: o carvedilol é indicado para tratamento de pacientes com insuficiência cardíaca congestiva leve, moderada e grave, de etiologia isquêmica e não isquêmica. Em adição à terapia padrão (inibidores da enzima conversora de angiotensina, diuréticos e digital opcional), o carvedilol de mostrou reduzir a morbidade (hospitalizações cardiovasculares e melhora do bem estar do paciente) e a mortalidade, bem como a progressão a doença. Pode ser usado como adjunto à terapia padrão, em pacientes incapazes de tolerar inibidores da ECA e também em pacientes que não estejam recebendo tratamento com digitálicos, hidralazina ou nitratos. De acordo com os resultados de um estudo (Copernicus), o carvedilol é eficaz e bem tolerado em pacientes com insuficiência cardíaca crônica grave.
Contraindicação: O carvedilol é contraindicado em paciente com: hipersensibilidade conhecida ao carvedilol ou a qualquer dos componentes do produto; insuficiência cardíaca descompensada, que exija terapia inotrópica intravenosa; insuficiência hepática clinicamente manifesta; Como com qualquer outro beta bloqueador, carvedilol não deve ser usado em pacientes com asma brônquica ou doença pulmonar obstrutiva crônica (DPOC) com componente broncoespástico; bloqueio AV de segundo ou terceiro grau; bradicardia grave (< 50 bpm); síndrome do nó sinusal (incluindo bloqueio sinoatrial); choque cardiogênico; hipotensão grave (pressão arterial sistólica < 85 mHg).
VENDA SOB PRESCRIÇÃO MÉDICA; NÃO UTILIZE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA, PODE SER PERIGOSO PARA SUA SAÚDE.",191.59,60.12,69.0%,Santo Remedio,Sudeste,Sao Paulo
Artrotop Creme Corporal 50G,7896094918757,HYPERA,,57.39,57.39,,Santo Remedio,Sudeste,Sao Paulo
Domperidona 1mg Suspensão Oral 100ml Eurofarma,7891317452971,EUROFARMA - GEN,"Esse medicamento é destinado ao tratamento de: - Síndromes dispépticas frequentemente associadas a um retardo de esvaziamento gástrico, refluxo gastroesofágico e esofagite: - sensação de empachamento epigástrico, saciedade precoce, distensão abdominal, dor abdominal alta; - eructação, flatulência; - náuseas e vômitos; - azia, queimação epigástrica com ou sem regurgitação de conteúdo gástrico. - Náuseas e vômitos de origem funcional, orgânica, infecciosa ou alimentar ou induzidas por radioterapia ou tratamento medicamentoso (anti-inflamatórios, antineoplásicos). Uma indicação específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.
DOMPERIDONA 1MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",55.07,28.16,49.0%,Santo Remedio,Sudeste,Sao Paulo
Hidroquinona 40mg Creme 30g Legrand,7894916145558,LEGRAND GENERICOS,"Para que serve: A hidroquinona é indicada no clareamento gradual de manchas como melasmas, sardas, melanoses solares, e outras condições em que ocorrem hiperpigmentação por produção excessiva de melanina.

Contraindicação:
A Hidroquinona é contraindicada a pacientes hipersensíveis à Hidroquinona ou a qualquer componente da fórmula.

Como usar:
Aplicar uma fina camada de Hidroquinona na área a ser tratada, duas vezes ao dia, ou a critério médico.HIDROQUINONA 40MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",59.05,59.0,0.0%,Santo Remedio,Sudeste,Sao Paulo
Olmy Anlo 40MG 30 Comprimidos,7894916510325,EMS,,72.44,66.54,8.0%,Santo Remedio,Sudeste,Sao Paulo
Alivium Suspensão 100Ml,7891142115508,MANTECORP/FARMASA - OL,,62.92,61.39,2.0%,Santo Remedio,Sudeste,Sao Paulo
Atorvastatina Cálcica 80mg 30 Comprimidos EMS,7896004729459,EMS GENÉRICO,"A Atorvastatina Cálcica comprimidos revestidos é indicada para tratamento de: - hipercolesterolemia (aumento da quantidade de colesterol no sangue) isolada; - hipercolesterolemia associada à hipertrigiceridemia (aumento dos níveis sanguíneos de outro tipo de gordura); - hipercolesterolemia associada à redução dos níveis sanguíneos de HDL (tipo de colesterol); - hipercolesterolemia associada à hipertrigiceridemia e associado também a redução dos níveis sanguíneos de HDL . Inclusive hipercolesterolemias de transmissão genética/familiar (familiar homozigótica, disbetalipoproteinemia, etc), quando a resposta à dieta e outras medidas não-farmacológicas forem inadequadas. A atorvastatina cálcica é indicada para prevenção secundária (aquela que é instituída depois de um evento para evitar que ele ocorra novamente) de síndrome coronária aguda (doença em que o músculo cardíaco recebe menor fluxo de sangue). Atorvastatina cálcica também pode ser usada para prevenção de complicações cardiovasculares (vasos sanguíneos e coração) em pacientes sem doença cardiovascular ou dislipidemia preexistente, mas com múltiplos fatores de risco (tabagismo, hipertensão, diabetes, HDL baixo ou história familiar de doença cardíaca precoce). A atorvastatina cálcica é indicada para o tratamento de pacientes com doença cardíaca (do coração) e coronariana (dos vasos do coração) para reduzir o risco de complicações como: infarto do miocárdio não fatal, de acidente vascular cerebral (derrame) fatal e não fatal, de procedimentos de revascularização (para desobstrução das artérias), de hospitalização por insuficiência cardíaca congestiva (doença em que o músculo cardíaco não consegue bombear o sangue para o corpo) e de angina (dor no peito devido a problemas no coração e seus vasos).
ATORVASTATINA CÁLCICA 80MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",258.36,114.87,56.0%,Santo Remedio,Sudeste,Sao Paulo
Baclon 10Mg 20Comprimidos,7896006270072,GENON,,30.27,30.27,,Santo Remedio,Sudeste,Sao Paulo
Restiva 10Mg 2 Unidades,7898586630338,ACHE,,186.48,159.94,14.0%,Santo Remedio,Sudeste,Sao Paulo
HELMIZOL GEL VAG 50G+10APLIC,7896112191926,TEUTO,,26.27,21.92,17.0%,Santo Remedio,Sudeste,Sao Paulo
Trezor 40Mg 30Comprimidos,7896658033445,ACHE,,193.64,182.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"BRAMICAR HCT 80+12,5MG 60CPR",7894916513135,EMS PRESCRIÇÃO,,201.44,191.61,5.0%,Santo Remedio,Sudeste,Sao Paulo
"ATRACE 37,5+325MG 10CPR",7891317014261,MOMENTA FARMACÊUTICA LTDA.,,36.58,32.21,12.0%,Santo Remedio,Sudeste,Sao Paulo
Calde K2 30Comprimidos,7896226105208,MARJAN,,143.18,143.18,,Santo Remedio,Sudeste,Sao Paulo
Fluviral Dia 20Comprimidos,7896094918610,HYPERMARCAS-DM,"O que é: Fluviral Dia é uma associação cujo componente básico é o paracetamol, que age aliviando a dor e a febre decorrentes dos quadros infecciosos das vias aéreas superiores. Fluviral Dia também possui em sua formulação o cloridrato de fenilefrina, que age como descongestionante nasal. As ações destes dois princípios ativos aliviam os sintomas associados às gripes e resfriados. Fluviral Dia possui início de ação 30 minutos após a ingestão. Como não causa sonolência, Fluviral® Dia deve ser utilizado durante o dia.

Para que serve: Fluviral Dia é indicado para o tratamento dos sintomas das gripes e resfriados, como dor, febre e congestão nasal.

Modo de usar: Uma dose é composta de 2 comprimidos (1 amarelo + 1 branco). Adultos e crianças acima de 12 anos: tomar 2 comprimidos (1 amarelo + 1 branco) a cada 8 horas, com um copo de água.Quando usar Fluviral Dia e Fluviral® Noite, nunca tomar ao mesmo tempo e sempre respeitar o intervalo mínimo de 8 horas entre as doses. Não exceder 3 doses em 24 horas. A dose diária máxima recomendada de paracetamol é de 4.000mg e de fenilefrina é 120mg. Fluviral® Dia não deve ser administrado por mais de 10 dias para dor, e por mais de 3 dias para a febre ou sintomas gripais.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE JUNTO COM OUTROS MEDICAMENTOS QUE CONTENHAM PARACETAMOL, COM ÁLCOOL, OU EM CASO DE DOENÇA GRAVE DO FÍGADO. NÃO USE ESTE MEDICAMENTO EM CASO DE DOENÇAS DO CORAÇÃO, PRESSÃO ALTA E GLAUCOMA.",40.59,30.73,24.0%,Santo Remedio,Sudeste,Sao Paulo
Plenance 5Mg 90Comprimidos,7896094210172,LIBBS,,103.82,103.82,,Santo Remedio,Sudeste,Sao Paulo
Ohde D3 7.000Ui 4Capsulas,7891317015336,MOMENTA FARMACÊUTICA LTDA.,,19.32,18.92,2.0%,Santo Remedio,Sudeste,Sao Paulo
Levoid 150Mcg 30Comprimidos,7896658008887,ACHE,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.",27.91,27.91,,Santo Remedio,Sudeste,Sao Paulo
Vigadexa Colírio 5Ml,7896548197554,ALCON,,50.32,42.09,16.0%,Santo Remedio,Sudeste,Sao Paulo
Foritus 500Mg 14Comprimidos,7891317191658,EUROFARMA LABORATÓRIOS S.A,,54.18,43.79,19.0%,Santo Remedio,Sudeste,Sao Paulo
Esomeprazol Magnésico 20mg 14 Comprimidos Germed,7896004743950,GERMED-SIGMA PHARMA,,75.82,55.64,27.0%,Santo Remedio,Sudeste,Sao Paulo
Uniprazol 20mg 28 Comprimidos,7896006205883,UNIAO QUIMICA,,24.22,13.75,43.0%,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 20mg 2 Comprimidos Medley,7896422501675,MEDLEY - GEN,,32.23,10.29,68.0%,Santo Remedio,Sudeste,Sao Paulo
"Venzer 8+12,5Mg 30Comprimidos",7896094206403,LIBBS,,91.54,87.07,5.0%,Santo Remedio,Sudeste,Sao Paulo
Vitacid Xt Creme 25G,7897129303579,THERASKIN,,77.15,73.36,5.0%,Santo Remedio,Sudeste,Sao Paulo
"Terolac 0,5% Solução Oftalmica 5Ml",7896676432961,LATINOFARMA,,55.87,55.87,,Santo Remedio,Sudeste,Sao Paulo
SANY D 7000UI 30CAPS,7896658036835,ACHE,,73.57,73.57,,Santo Remedio,Sudeste,Sao Paulo
Dividol 12 Capsulas,7898074616042,ZAMBON,"Este medicamento é um analgésico sintético, indicado para o tratamento da sintomatologia dolorosa originada de diversas causas e de várias localizações, toda vez que, a critério médico, haja necessidade de um tratamento analgésico sintomático, enquanto se aguardam, alternam ou associam tratamentos etiológicos, ou mesmo em ausência destes últimos. - Dores osteoarticulares: artralgia e osteoartrose cervical e lombo-sacral, discopatias intervetebrais, fraturas, luxações e traumas. - Dores neuríticas: isquialgias, radiculites, polineurites diabéticas e polineurites diabéticas e alcoólicas e herpes. - Dores vasculares: arteriopatias obliterantes dos membros com dor isquêmica, coronariopatias obstrutivas e infarto do miocárdio. - Dores viscerais: dor decorrente a derrame pleural e pericardite, cólicas abdominais, anexites, espasmos uterinos e dismenorreia. - Dores neoplásicas: neoplasias de origem e estado evolutivo, mieloma múltiplo, leucemia e outras hemopatias dolorosas. - Dores diversas: cefaleia tipo hemicrania, mialgias, dores dentárias e estados dolorosos em pós-operatórios diversos.
DIVIDOL 70MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",55.07,55.07,,Santo Remedio,Sudeste,Sao Paulo
Dois 60Comprimidos,7896676434033,LATINOFARMA,,42.83,42.83,,Santo Remedio,Sudeste,Sao Paulo
Gastrol Efervescente Sache 5G Abacaxi,7896094918665,HYPERMARCAS-DM,,3.75,3.06,18.0%,Santo Remedio,Sudeste,Sao Paulo
Paracetamol 500mg 4 Comprimidos EMS,7896004716329,EMS GENÉRICO,,3.45,2.47,28.0%,Santo Remedio,Sudeste,Sao Paulo
Fibermais Lata Sem Sabor 260G,7896001303119,NESTLE,"FiberMais® é composto por fibras 100% solúveis: Goma Guar Parcialmente Hidrolisada e Inulina, que auxiliam o funcionamento do intestino de maneira regular e saudável. Além disso, por conter fibras prebióticas, pode favorecer o crescimento das bactérias boas no intestino, promovendo o equilíbrio da flora intestinal. Sem sabor, você pode adicionar ao alimento ou bebida de sua preferência, sem alterar sabor ou textura dos alimentos.*Disponível em latas de 260 g e caixas com 10 sachês.",128.9,122.13,5.0%,Santo Remedio,Sudeste,Sao Paulo
Gestodeno+Etinilestradiol 24 Comprimidos Sandoz,7897595614186,SANDOZ GENERICOS,,43.54,23.88,45.0%,Santo Remedio,Sudeste,Sao Paulo
Neovite Lutein 60Comprimidos,7896046301101,BAUSCH & LOMB,"O Neovite Lutein é um suplemento com ação antioxidante, composto por Luteína enriquecida com Vitaminas C e E, Selênio e Zinco, desenvolvido para suprir as necessidades diárias de vitaminas e minerais, fornecendo nutrientes essenciais para o bom funcionamento do organismo. Ainda, conta com ativos que filtram a luz azul, neutralizando as moléculas instáveis que rompem a estrutura de outras células.Quando associado a uma alimentação equilibrada e hábitos de vida saudáveis, seu uso auxilia no combate dos radicais livres, previne doenças relacionadas ao envelhecimento, inclusive degenerativas, e contribui para a manutenção e renovação celular, fortalecendo o sistema imunológico.",363.04,363.04,,Santo Remedio,Sudeste,Sao Paulo
Rizi-M 10Mg + 5Mg 7 Comprimidos,7896094918511,HYPERMARCAS-DM,"Indicação: Rizi-M é indicado para o alívio dos sintomas associados à rinite alérgica sazonal (que ocorre em determinadas épocas do ano).
Posologia: Uso em adultos: a dose recomendada é de um comprimido revestido tomado por via oral (pela boca), à noite. O comprimido revestido deve ser engolido inteiro, com ou sem alimento. Uso em crianças e adolescentes: uma vez que este produto não foi estudado em crianças, este medicamento não é recomendado em pacientes abaixo de 18 anos. Pacientes com insuficiência renal (problema nos rins): não são necessários ajustes de dose em doentes com insuficiência renal leve (volume de creatinina filtrado pelos rins a cada minuto >79mL/min). Para pacientes com insuficiência renal moderada a grave (volume de creatinina filtrado pelos rins a cada minuto <79mL/min ou >10mL/min) este produto deve ser usado com cuidado e sob rigorosa supervisão médica. Pacientes com insuficiência hepática (problema no fígado): nenhum ajuste de dose é necessário em pacientes com insuficiência hepática. Duração do tratamento: Rizi-M deve ser utilizado por 14 dias ou conforme recomendação médica. Este medicamento não deve ser partido, aberto ou mastigado.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico. 
Quando não devo usar este medicamento: Você não deverá utilizar Rizi-M caso apresente: Alergia às substâncias ativas (montelucaste ou levocetirizina), a outros derivados de piperazina ou a qualquer um dos componentes da fórmula. Insuficiência renal grave com menos de 10mL/min de depuração da creatinina (volume filtrado pelos rins a cada minuto). Problemas hereditários raros de intolerância à galactose (açúcar do leite), deficiência de lactase (substância do corpo humano que digere o leite) ou má absorção de glucose-galactose (açúcar do leite). Este medicamento é contraindicado para menores de 18 anos. Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista. 

RIZI-M 10/5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. 
RIZI-M 10/5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO. 
VENDA SOB PRESCRIÇÃO MÉDICA.",71.26,71.26,,Santo Remedio,Sudeste,Sao Paulo
Hedera Xarope 100ml,7896523223193,CIMED,,47.21,25.37,46.0%,Santo Remedio,Sudeste,Sao Paulo
Calcitran MDK 30 Comprimidos Mastigaveis,7898040328573,DIVCON FARMA,,58.41,58.41,,Santo Remedio,Sudeste,Sao Paulo
Carisoprodol+Diclofenaco Sodico+Paracetamol+Cafeína 30 Comprimidos Eurofarma,7891317005900,EUROFARMA - GEN,,32.45,18.01,44.0%,Santo Remedio,Sudeste,Sao Paulo
Valsartana+Besilato de Anlodipino 160+5mg 28 Comprimidos Sandoz,7897595634917,SANDOZ GENERICOS,,80.32,80.32,,Santo Remedio,Sudeste,Sao Paulo
Fosfato Sódico de Prednisolona 3mg Solução 60ml Cimed,7896523226873,CIMED,O fosfato sódico de prednisolona é indicado como agente anti-inflamatório e imunossupressor em patologias cujos mecanismos fisiopatológicos envolvam processos inflamatórios e/ou autoimunes; para o tratamento de condições endócrinas (das glândulas); e em composição de esquemas terapêuticos em algumas neoplasias.,18.48,14.7,20.0%,Santo Remedio,Sudeste,Sao Paulo
Mesilato de Doxazosina 2mg 30 Comprimidos Cimed,7896523227108,CIMED,,37.68,18.52,51.0%,Santo Remedio,Sudeste,Sao Paulo
Rosuvastatina Cálcica 20mg 30 Comprimidos Cimed,7896523226774,CIMED,"IndicaçãoRosuvastatina cálcica deve ser usada como auxiliar a dieta quando a resposta à dieta e aos exercícios é inadequada. Em pacientes adultos com hipercolesterolemia (nível elevado de colesterol no sangue) rosuvastatina cálcica é indicada para: Redução dos níveis de LDL-colesterol, colesterol total e triglicérides elevados; aumento do HDL-colesterol em pacientes com hipercolesterolemia primária (familiar heterozigótica e não familiar) e dislipidemia mista (níveis elevados ou anormais de lipídios no sangue) (Fredrickson tipos IIa e IIb). rosuvastatina cálcica também diminui ApoB, não-HDL-C, VLDL-C, VLDL-TG, e as razões LDL-C/HDL-C, C- total/HDL-C, não-HDL-C/HDL-C, ApoB/ApoA-I e aumenta ApoA-I nestas populações. Tratamento da hipertrigliceridemia isolada (nível elevado de triglicérides no sangue) (hiperlipidemia de Fredrickson tipo IV). Redução do colesterol total e LDL-C em pacientes com hipercolesterolemia familiar homozigótica, tanto isoladamente quanto como auxiliar à dieta e a outros tratamentos para redução de lipídios (por ex.: aférese de LDL), se tais tratamentos não forem suficientes. Retardamento ou redução da progressão da aterosclerose (acúmulo de gordura nas paredes dos vasos sanguíneos). Crianças e adolescentes de 6 a 17 anos de idade rosuvastatina cálcica é indicada para redução do colesterol total, LDL-C e ApoB em pacientes com hipercolesterolemia familiar heterozigótica (HeFH).PosologiaSeu médico deverá avaliar os critérios adequados para indicação e posologia do tratamento com rosuvastatina cálcica. A faixa de dose usual é de 10 mg a 40 mg, por via oral, uma vez ao dia. A dose máxima diária é de 40 mg. A dose de rosuvastatina cálcica deve ser individualizada de acordo com a meta da terapia e a resposta do paciente. A maioria dos pacientes é controlada na dose inicial. Entretanto, se necessário, o ajuste de dose pode ser feito em intervalos de 2 a 4 semanas.Quando não devo usar este medicamentoVocê não deve utilizar rosuvastatina cálcica se for alérgico à rosuvastatina ou a qualquer um dos componentes do medicamento, se estiver com doença no fígado, e se tiver insuficiência hepática ou renal (funcionamento alterado do fígado ou rins). rosuvastatina cálcica também não deve ser utilizada por pacientes grávidas ou que pretendem engravidar e que não estão usando métodos contraceptivos apropriados. Você não deve utilizar rosuvastatina cálcica se estiver amamentando. Este medicamento não deve ser utilizado por mulheres grávidas ou que possam ficar grávidas durante o tratamento.",240.47,37.8,84.0%,Santo Remedio,Sudeste,Sao Paulo
Mirtazapina 30mg 30 Comprimidos Medley,7896422506069,MEDLEY - GEN,,189.19,111.72,41.0%,Santo Remedio,Sudeste,Sao Paulo
