,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
4449,Saflutan 15MCG/ML Solução Oftálmica 30 Flaconetes,7897337707435.0,SAFLUTAN,Seu médico prescreveu Saflutan? para diminuir a pressão elevada em seu olho a fim de tratar o glaucoma de ângulo aberto ou a hipertensão ocular.,142.04,130.68,8,Drogaria Globo,Sudeste,São Paulo,1595.0
4450,Protetor Solar Capital Soleil Uv-Pigment Control Fps 60 Cor 2.0 40g,7899706196277.0,VICHY,Protetor Solar Capital Soleil Uv-Pigment Control Fps 60 Cor 2.0 40g,83.99,83.99,0,Drogaria Globo,Sudeste,São Paulo,1596.0
4451,Creme Dental Ultra Action Menta Amazon 164g,7890310111557.0,ULTRA ACTION,,,,0,Drogaria Globo,Sudeste,São Paulo,1597.0
4452,Teste de Gravidez Clearblue Plus 1unidade,7500435171106.0,CLEARBLUE,"O Clearblue Plus é um teste de gravidez que oferece praticidade e resultado rápido, com 99% de precisão.",15.39,15.39,0,Drogaria Globo,Sudeste,São Paulo,1598.0
4453,Suplemento Alimentar Reforgan Imuno 30comprimidos,7897460401897.0,REFORGAN,"O Suplemento Alimentar Reforgan Imuno contém combinação com 3 substâncias Vitamina D3, Zinco e Arginina.",83.89,83.89,0,Drogaria Globo,Sudeste,São Paulo,1599.0
4454,Água Termal Vichy 50ml,3337871308629.0,VICHY,Reforça a pele contra agressões externas e previne o envelhecimento cutâneo. Indicado para todos os tipos de pele.,90.49,90.49,0,Drogaria Globo,Sudeste,São Paulo,1600.0
4455,Esfoliante Granado Pedras Pomes Pink 80g,7896512914248.0,GRANADO,"O Esfoliante de Pedra-Pomes Granado é um produto para os pés indicado para remover as células mortas e a calosidade da pele, geralmente causados pelo uso constante de calçados. Esfoliante possui uma fórmula enriquecida com derivados de Óleo de Palma, Glicerina Vegetal e Cera Natural de Abelha, que promovem uma hidratação macia aos pés, deixando-os sedosos e suaves.",19.29,19.29,0,Drogaria Globo,Sudeste,São Paulo,1601.0
4456,Resgat 1mg/g Creme Dermatológico 20g,7896658030550.0,RESGAT,"Resgat é indicado para o alívio da inflamação e do prurido (coceira) nas doenças de pele que respondem ao tratamento com corticoides tópicos, como: psoríase (doenças com espessamento e descamação da pele), dermatite atópica e/ou dermatite alérgica de contato.",54.76,44.69,18,Drogaria Globo,Sudeste,São Paulo,1602.0
4457,Enxaguante Bucal Cepacol Menta Ice 500ml,7896714292915.0,CEPACOL,Enxaguante Bucal Cepacol Menta Ice 500ml,14.19,14.19,0,Drogaria Globo,Sudeste,São Paulo,1603.0
4458,Oseltamivir 75mg 10cápsulas Genérico Natcofarma,7898565164533.0,OSELTAMIVIR,"Oseltamivir é indicado para o tratamento e para a profilaxia de gripe em adultos e crianças a partir de 8 anos de idade, ou com 40 Kg ou mais de peso corporal, que sejam capazes de ingerir cápsulas.",235.54,196.82,16,Drogaria Globo,Sudeste,São Paulo,1604.0
4459,Leucogen 80mg 30 Cápsulas,7896658029028.0,LEUCOGEN,"Leucogen é destinado ao tratamento e prevenção de infecções das vias respiratórias, como auxiliar na doença infecciosa, viral e bacteriana, para deficiência da formação de anticorpos.",161.81,135.19,16,Drogaria Globo,Sudeste,São Paulo,1605.0
4460,Copo Treinamento 360º Lillo Menino 226Ml,7896033232661.0,LILLO,"O Copo Aprendizado 360º Lillo é recomendado para facilitar o momento de transição do copo com bebedor para o modelo convencional. O design diferenciado permite que o líquido seja ingerido por toda a sua extensão, sem ser derramado no rosto da criança. Oferece conforto e facilidade durante o uso diário.",38.19,38.19,0,Drogaria Globo,Sudeste,São Paulo,1606.0
4461,Protetor Solar Photoderm M Pele Morena FPS50+ 40ml,3701129803714.0,PHOTODERM,"Photoderm M é um protetor solar facial com cor que, além de proteger a pele contra os danos causados pelo sol, oferece cobertura natural e ajuda no clareamento de manchas do rosto.  Sua fórmula conta com uma Inovação da Bioderma: proteção solar clareadora e uniformizadora da tonalidade da pele com nova fórmula, que protege também contra a luz azul visível, combatendo o aparecimento de manchas na pele.   Além disso, sua fórmula é enriquecida com o ativo uniformizador Glabridina e com alta concentração de pigmentos, que uniformizam as manchas da sua pele.",114.39,114.39,0,Drogaria Globo,Sudeste,São Paulo,1607.0
4462,Suplemento Alimentar Vitalen Kids Chocolate 450g,7896360002623.0,VITALEN,"Vitalen� Kids é um suplemento alimentar em pó formulado à base um completo e moderno mix de vitaminas e minerais essenciais à saúde dos pequenos. Crescer com saúde e disposição requer uma adequada nutrição, e quando ela vem acompanhada de um delicioso sabor tudo fica ainda melhor! Sua formulação além de ser rico em cálcio, ferro e zinco, possui 25 vitaminas e minerais específicos para a nutrição infantil",51.49,51.49,0,Drogaria Globo,Sudeste,São Paulo,1608.0
4463,Protena Pro 60 Cápsulas,7896658048074.0,PROTENA,,196.99,196.99,0,Drogaria Globo,Sudeste,São Paulo,1609.0
4464,"Cetoconazol 20mg/g + Betametasona 0,5mg/g + Neomicina 2,5mg/g Genérico Eurofarma Creme 30g",7891317002503.0,EUROFARMA - GEN?RICO,"O Cetoconazol, Dipropionato de Betametasona e Sulfato de Neomicina é indicado no tratamento de doenças de pele, onde se exigem ações anti-inflamatória, antibacteriana e antimicótica.",30.03,12.46,59,Drogaria Globo,Sudeste,São Paulo,1610.0
4465,Cloridrato de Nebivolol 5mg Genérico Biolab 28 Comprimidos,7899551303868.0,NEBIVOLOL,"Este medicamento é destinado para o tratamento da hipertensão arterial (pressão sanguínea alta) e da insuficiência cardíaca (alteração da função cardíaca) em idosos (acima de 70 anos), com fração de ejeção (quantidade de sangue que sai do coração e vai para todo o organismo através dos vasos quando ocorre o batimento cardíaco) abaixo ou igual 35%.",54.98,26.59,52,Drogaria Globo,Sudeste,São Paulo,1611.0
4466,Chupeta Kuka Aquar Bico Redonda Nº2 Rosa,7896000624420.0,KUKA BABY,"A Chupeta Bico Redondo da Kuka respeita o desenvolvimento natural do paladar, dentes e gengivas do bebê.",6.79,6.79,0,Drogaria Globo,Sudeste,São Paulo,1612.0
4467,Suplemento Alimentar HairSkin e Nails Supreme 60 Cápsulas,7898593052444.0,Hair skin,Suplemento Alimentar HairSkin e Nails Supreme 60 Cápsulas,38.59,38.59,0,Drogaria Globo,Sudeste,São Paulo,1613.0
4468,Escova de Cabelo Raquete Ricca Flex Hair Pink,7897517904500.0,RICCA,Ricca Flex Pink é uma escova de cabelo com cerdas flexíveis de dupla altura.,27.99,27.99,0,Drogaria Globo,Sudeste,São Paulo,1614.0
4469,Sildenafila 50mg Cimed com 4comprimidos,7896523214047.0,SILDENAFILA,"O citrato de sildenafila comprimido revestido está indicado para o tratamento da disfunção erétil, que se entende como sendo a incapacidade de obter ou manter uma ereção (rigidez do pênis) suficiente para um desempenho sexual satisfatório.",18.59,10.55,43,Drogaria Globo,Sudeste,São Paulo,1615.0
4470,Kit Banho Bebê Sabonete Líquido Tradicional Granado 250ml +2 Refis,7896512954169.0,GRANADO,O sabonete de glicerina Granado foi especialmente desenvolvido para limpar e proteger a pele delicada do bebê.,37.99,37.99,0,Drogaria Globo,Sudeste,São Paulo,1616.0
4471,Esmalte Risqué Choque Pink 8ml,7891182015899.0,RISQUE,"Esmalte Risqué é perfeito para os cuidados diários. Apaixone-se pela cor, presencie a longa duração e viva a beleza de suas unhas de forma única com o Esmalte Risqué Rosas Cremoso Chóque Pink.",6.69,6.69,0,Drogaria Globo,Sudeste,São Paulo,1617.0
4472,Esmalte Vult Amor Secreto 8ml,7899852003252.0,VULT,,10.49,10.49,0,Drogaria Globo,Sudeste,São Paulo,1618.0
4473,Esmalte Revlon Enamel 270 Cherries In The Snow 14.7ml,91000000329.0,REVLON,,13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,1619.0
4474,Fralda Geriátrica Tena Slip Dermacare G 8 Unidades,7896770980818.0,TENA,"Fralda TENA Dermacare possui dupla camada e um núcleo de alta absorção que rapidamente retém a urina promovendo segurança em um produto hipoalergênico. Com tecido macio e respirável que permite a respiração da pele mantem a mesma sempre seca e saudável, ajudando a prevenir irritações.   Possui tecnologia antivazamento com barreiras protetoras, elásticos nas costas e controle antiodor.   Indicada para incontinência urinária e fecal em usuários com pouca ou nenhuma mobilidade.  Proteção e cuidado para a pele todos os dias.  ? Tamanho: G (92 - 144 cm)  ? Referência: 70-90 kg",35.99,35.99,0,Drogaria Globo,Sudeste,São Paulo,1620.0
4475,Kit Shampoo Johnsons Baby Ph Balanceado 1 Unidade de 400ml + 1 Unidade de 200ml,7891010244408.0,J&J BABY,,19.99,19.99,0,Drogaria Globo,Sudeste,São Paulo,1621.0
4476,Shampoo Antiqueda Clear Men Derma Solutions 300ml,7891150090514.0,CLEAR,Passo 1 do tratamento Clear Men Derma Solutions Antiqueda. Reduz a queda de cabelo em 1 mês de uso contínuo. Proporciona cabelos mais volumosos em 1 mês. Conta com Tecnologia Follilock?.,65.59,65.59,0,Drogaria Globo,Sudeste,São Paulo,1622.0
4477,Miosan Odt 10mg 10 Comprimidos,7896637034067.0,MIOSAN,Miosan Odt 10mg 10 Comprimidos,22.37,20.41,9,Drogaria Globo,Sudeste,São Paulo,1623.0
4478,Condicionador Tresemmé Reconstrução e Força 650ml,7891150091238.0,TRESEMME,Condicionador Tresemmé Reconstrução e Força 650ml,26.69,26.69,0,Drogaria Globo,Sudeste,São Paulo,1624.0
4479,Águalemã Sobral Solução Oral 100ml,7897732609242.0,SOBRAL,,13.69,13.69,0,Drogaria Globo,Sudeste,São Paulo,1625.0
4480,Annita 500mg 6 Comprimidos,7898040321512.0,ANNITA,"Annita é indicado no tratamento das seguintes infecções: gastroenterites virais; helmintíases; amebíase; giardíase; criptosporidíase; blastocistose, balantidíase e isosporíase.",73.15,56.68,23,Drogaria Globo,Sudeste,São Paulo,1626.0
4481,Maxalt 10mg 2 Comprimidos,7897337702089.0,MAXALT,Maxalt é um medicamento indicado para o tratamento de crises de enxaqueca.,35.57,29.09,18,Drogaria Globo,Sudeste,São Paulo,1627.0
4482,Cilostazol 100mg Genérico Biosintética 30 Comprimidos,7896181925859.0,CILOSTAZOL,"Indicado para tratar problemas de circulação em que ocorre diminuição do fluxo de sangue para as artérias periféricas do corpo, condição denominada doença vascular periférica, cujo sintoma principal é a claudicação intermitente e para a prevenção da recorrência de acidente vascular cerebral (AVC).",45.45,26.38,42,Drogaria Globo,Sudeste,São Paulo,1628.0
4483,Fralda Mamypoko Calça Jumbo G Com 32+4 Unidades,7898656391077.0,MAMYPOKO,A MamyPoko Fralda-Calça ficou ainda mais respirável. A única no Brasil com Furinhos Arejados que liberam a umidade em toda a cintura.,56.9,56.9,0,Drogaria Globo,Sudeste,São Paulo,1629.0
4484,Vitamina C Mega Day Tripla Ação 10 Comprimidos,7898716455480.0,MEGA DAY,,14.99,14.99,0,Drogaria Globo,Sudeste,São Paulo,1630.0
4485,Rosucor 20mg 30 Comprimidos,8902220109520.0,ROSUCOR,"Rosucor reduz o nível de lipídios (substâncias gordurosas) no sangue, principalmente colesterol e triglicérides.",72.93,50.92,30,Drogaria Globo,Sudeste,São Paulo,1631.0
4486,Oxímetro De Pulso Multilaser Oxygen Hc261 Com 1 Unidade,7899838899961.0,MULTILASER,,114.99,114.99,0,Drogaria Globo,Sudeste,São Paulo,1632.0
4487,Suplemento Vitamínico A-Z Energia com 30comprimidos,7896094925045.0,VITASAY,"Vitasay A-Z Energia é um suplemento alimentar em comprimido que ajuda a complementar as necessidade diárias de vitaminas e minerais. Rico em vitamina complexo B, C, D e Zinco. Contém cafeína que auxilia no aumento do estado de alerta, na melhora da concentração e no aumento da capacidade de resistência e no desempenho de exercícios físicos de resistência. Auxilia o metabolismo energético e no sistema imunológico. Ação antioxidante que auxilia na proteção dos danos causados pelos radicais livres.  Zero Açúcares.",49.19,40.65,17,Drogaria Globo,Sudeste,São Paulo,1633.0
4488,Preservativo Jontex Sensation 6un,7896222720269.0,JONTEX,,16.69,16.69,0,Drogaria Globo,Sudeste,São Paulo,1634.0
4489,Gel Hidratante Belamy Vaginal,7896094210127.0,BELAMY,"BELAMY é indicado para ser usado regularmente, mantendo a sensação de hidratação e promovendo o alívio do ressecamento vaginal. Promove sensação de conforto e diminui a dor e o desconforto na relação sexual.",75.99,75.99,0,Drogaria Globo,Sudeste,São Paulo,1635.0
4490,Kit Gel de Limpeza Profunda Vichy Normaderm 150g + Gel de Limpeza 40g,7899706189255.0,VICHY,"O Gel de Limpeza Profunda Vichy Normaderm é uma solução eficiente para limpeza de peles mistas a oleosas e combate contra influências externas, como poluição, estresse e fadiga. Sua frangância refrescante e sua textura leve oferecem uma sensação de pele limpa e bem cuidada.",64.99,64.99,0,Drogaria Globo,Sudeste,São Paulo,1636.0
4491,Luftal Max Gel 125Mg 20 Cápsulas,7896222720856.0,LUFTAL,"Atua de forma rápida contra os sintomas causados pelo excesso de gases.O acúmulo de gases no estômago e no intestino chama-se flatulência, que causa desconforto abdominal, aumento do volume abdominal, dor ou cólicas no abdômen. A eliminação dos gases alivia estes sintomas.",51.9,45.65,12,Drogaria Globo,Sudeste,São Paulo,1637.0
4492,Teste Oral de HIV Oraquick,93674061019.0,ORAQUICK,"OraQuick é um autoteste oral capaz de detectar o vírus HIV (tipo 1 e tipo 2) no organismo, por meio da detecção de anticorpos, sem a necessidade de coletar uma amostra sanguínea e de uma análise laboratorial.Teste é prático, indolor e pode ser feito em casa por qualquer pessoa, com regularidade e/ou 90 dias depois de se expor a uma situação de risco.",83.29,83.29,0,Drogaria Globo,Sudeste,São Paulo,1638.0
4493,Malvatricin Spray 50ml,7896026120494.0,MALVATRICIN,"Malvatricin é uma solução indicada para o tratamento de diversas enfermidades que podem acometer a região bucal. É indicado para o tratamento de afecções bucais, aftas e dor de garganta. Possui efeito antisséptico e anestésico local.",47.9,40.85,15,Drogaria Globo,Sudeste,São Paulo,1639.0
4494,Fralda Pampers Pants Ajuste Total Xxg 4 Unidades,7500435146128.0,PAMPERS,,4.99,4.99,0,Drogaria Globo,Sudeste,São Paulo,1640.0
4495,Creme Fixador de Dentadura Fixodent Original 21g,76660008625.0,FIXODENTE,O Creme adesivo Fixodent foi criado para fixar próteses e dentaduras de maneira mais prática e com total segurança para manter as rotinas diárias sem preocupação extra.,20.99,20.99,0,Drogaria Globo,Sudeste,São Paulo,1641.0
4496,Acetilcisteina 20mg/ml Xarope Pediátrico Genérico EMS 120ml,7896004715292.0,ACETILCISTEINA,"Este é um medicamento expectorante indicado quando se tem dificuldade para expectorar e há muita secreção densa e viscosa, tais como bronquite aguda, bronquite crônica e suas exacerbações (piora do quadro clínico e complicações), enfisema pulmonar, pneumonia (inflamação nos pulmões e brônquios), colapso/atelectasias pulmonares, mucoviscidose, também conhecida por fibrosecística.",34.61,24.74,29,Drogaria Globo,Sudeste,São Paulo,1642.0
4497,Desodorante Gillete Hydra Gel Aloe Vera 82G,7500435140591.0,GILLETTE,"A Gillette apresenta seu novo antitranspirante em Géis, Hydra Gel. Sua fórmula não contém álcool etílico, o que ajuda a proteger a pele contrairritações. A fórmula também é hidratante e refrescante, contém Aloe e é dermatologicamente testada, proporcionando 48h de proteção invisível contra o suor e mal cheiro.",30.79,30.79,0,Drogaria Globo,Sudeste,São Paulo,1643.0
4498,Salsep Jet Kids Spray Nasal 200ml,7896094210110.0,SALSEP,O Salsep Jet Kids é Indicado como fluidificante e descongestionante nasal.,78.71,71.74,9,Drogaria Globo,Sudeste,São Paulo,1644.0
4499,Creme Dental Curaprox Black Is White 90G,7612412423822.0,CURAPROX,O Creme Dental Curaprox Black Is White tem uma tecnologia suíça na composição.O creme dental de cor preta é indicado para clarear os dentes e por isso deve ser utilizado no momento da escovação.,164.99,164.99,0,Drogaria Globo,Sudeste,São Paulo,1645.0
4500,Sérum Antioxidante SkinCeuticals C E Ferulic 15ml,7899706150491.0,SKINCEUTICALS,O Sérum Antioxidante SkinCeuticals C E Ferulic é um sérum com altas concentrações de vitamina C pura e estabilizada na pele para uma proteção avançada contra agressores ambientais e correção dos sinais de envelhecimento.,367.29,367.29,0,Drogaria Globo,Sudeste,São Paulo,1646.0
4501,Enxaguante Bucal Oaz Hortelã 250ml,7891317025755.0,OAZ,,11.99,11.99,0,Drogaria Globo,Sudeste,São Paulo,1647.0
4502,Engov Up Morango e Kiwi 269ml,7896094928350.0,ENGOV,"Engov UP é uma bebida gaseificada zero açúcares com baixo teor de sódio e baixo em caloria. Formulado a tríade de energia: Taurina, Cafeína e Arginina, essa bebida auxilia no metabolismo energético, aumentando a energia, concentração e o estado de alerta. Além disso, sua fórmula também conta com Colina e Vitaminas do complexo B, C e D, que auxiliam no funcionamento muscular e no funcionamento do sistema imune.   Em lata com 269ml e ideal para ser consumido gelado, Engov Up está disponível em três deliciosos sabores: Original, Morango + Kiwi e Melancia.",8.39,8.39,0,Drogaria Globo,Sudeste,São Paulo,1648.0
4503,Fralda Geriátrica Plenitud Classic G/XG 16 Unidades,7896007552986.0,PLENITUD,,62.99,62.99,0,Drogaria Globo,Sudeste,São Paulo,1649.0
4504,Creme Hidratante Facial Dermovance Calm Com 40g,7898040328412.0,DERMOVANCE,"É dermatologicamente testado, não comedogênico e não acnegênico (não provoca cravos e nem acne). Proporciona conforto imediato, acalmando a pele.",36.29,36.29,0,Drogaria Globo,Sudeste,São Paulo,1650.0
4505,Protetor Solar Facial Bioderma Photoderm Nude Touch Muito Claro FPS50 com 40ml,3701129801147.0,CICABIO,"Bioderma Touch é um protetor solar facial com cor que,além de proteger a pele contra os danos causados pelo sol,oferece cobertura natural e controla a oleosidade do rosto.",119.59,119.59,0,Drogaria Globo,Sudeste,São Paulo,1651.0
4506,Joelheira Com Reforço Patelar Ajustavel Tamanho Único,7898336430607.0,HIDROLIGHT,"A Joelheira com Reforço Patelar Ajustável Hidrolight é um produto utilizado para tratamento de lesões na região do joelho, e instabilidade patelar, ela mantem os músculos firmas sem impedir a circulação sanguínea.",65.99,65.99,0,Drogaria Globo,Sudeste,São Paulo,1652.0
4507,"Dequadin (0,25/5mg) Sabor Menta 20 Pastilhas",7898040320850.0,NÃO DEFINIDO,"DEQUADIN� é indicado no alívio da dor, da irritação e inflamação das infecções da boca e da faringe, tais como: amigdalites, faringites, estomatites, glossites e aftas.",15.53,14.19,9,Drogaria Globo,Sudeste,São Paulo,1653.0
4508,Esmalte Cremoso Revlon Cor Optimistic 8ml,33000000015.0,REVLON,"Revlon Optimistic é livre de tolueno, formaldeído e substâncias irritantes em sua fórmula, que conta com a exclusiva tecnologia Silk-Silicone, enriquecida com proteína da seda que impede o aparecimento de bolhas e manchas para unhas perfeitas.",13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,1654.0
4509,Enxaguante Bucal Xerolacer 500ml,8430340057884.0,XEROLACER,,57.69,57.69,0,Drogaria Globo,Sudeste,São Paulo,1655.0
4510,Esmalte Risqué Metálico Suflê de Goiaba 8ml,7891182996921.0,RISQUE,"O Esmalte Risqué desenvolvido com uma coloração inconfundível e diferenciada atingindo a todos os tipos de estilos das mulheres.
Garante uma pigmentação acompanhando todas as tendências da moda deixando você mulher pronta para arrasar. Resultado de unhas bem coloridas e com um efeito prolongado.",5.19,5.19,0,Drogaria Globo,Sudeste,São Paulo,1656.0
4511,"Esmalte Impala Acalma-Mente Mó Paz 7,5 ml",7896111996300.0,IMPALA,"Estamos em uma era onde o stress está presente na rotina de praticamente todos nós. Pressão, ansiedade, cansaço, acabam afetando diretamente nossa qualidade de vida e cada vez mais buscamos conforto e fugir da realidade. Uma das formas de minimizar as sensações estressantes é realizando rituais de autocuidado, fazendo uma pausa para reflexões, meditação, respiração, skincare e dentre eles, o cuidado com as unhas, e disso entendemos bem! E na maioria dessas práticas as fragrâncias estão presentes para transmitir sentimentos de segurança, calma e felicidade. Como forma de contribuir ainda mais com rituais de bem-estar a Impala desenvolveu a coleção de Primavera/2022 Acalma-Mente, que vai tornar seu momento de autocuidado ainda mais prazeroso não só com as lindas cores escolhidas entre as tendências da estação, mas também como uma fragrância especial para perfumar seu momento. Com notas olfativas de folhas verdes, flores e frutal de pêssego, que promovem sensação de calma, conforto e felicidade, minimizando os estresses diários. A coleção é composta por 7 cores e um Óleo Bifásico Multifuncional que contém vitamina E, D-Pantenol e blend de óleos, para maior proteção, nutrição e hidrata",4.99,4.99,0,Drogaria Globo,Sudeste,São Paulo,1657.0
4512,Creme Dental Colgate Luminous White Lovers Café 70g,7509546670942.0,COLGATE,A Colgate Luminous White Lovers Café é uma pasta de dente desenvolvida especialmente para pessoas que amam café.,14.99,14.99,0,Drogaria Globo,Sudeste,São Paulo,1658.0
4513,Mega Day Moropro 60cápsulas,7893595454760.0,MEGA DAY,Mega Day Moropro 60 cápsulas,54.9,54.9,0,Drogaria Globo,Sudeste,São Paulo,1659.0
4514,Esmalte Risqué Rosas Bela e Poderosa 8ml,7891182015882.0,RISQUE,"O Esmalte Risqué desenvolvido com uma coloração inconfundível e diferenciada atingindo a todos os tipos de estilos das mulheres.
Garante uma pigmentação acompanhando todas as tendências da moda deixando você mulher pronta para arrasar. Resultado de unhas bem coloridas e com um efeito prolongado.",6.69,6.69,0,Drogaria Globo,Sudeste,São Paulo,1660.0
4515,Florax SM ATB Adulto Sabor Framboesa 10 Flaconetes,7896685303559.0,FLORAX,"Tratamento da restauração da microbiota intestinal fisiológica, desequilibrada por infecções intestinais, provocada por agentes patógenos ou devido ao uso de antibióticos e quimioterápicos.",81.22,74.03,9,Drogaria Globo,Sudeste,São Paulo,1661.0
4516,Lavitan Viron com 60cápsulas,7897947601048.0,LAVITAN,"Auxilia no metabolismo energético; Com Vitaminas do Complexo B, Vitaminas C, E, Zinco e Magnésio; Composto por cápsula 100% vegetal.",49.9,49.9,0,Drogaria Globo,Sudeste,São Paulo,1662.0
4517,Água Saborizada Crystal Frutas Vermelhas 510Ml,7894900521504.0,CRYSTAL,"Leveza e sabor, com um toque de aromas naturais e sem adição de açúcar, perfeita a qualquer hora.",3.19,3.19,0,Drogaria Globo,Sudeste,São Paulo,1663.0
4518,Shake Linea Premium Chocolate 400G,7896001260733.0,LINEA,"Nossos shakes tradicionais de Chocolate, Morango e Baunilha são deliciosos e tem tudo o que você precisa: 21 vitaminas e minerais, fibras, colágeno e muita proteína, inclusive de soja.",28.39,28.39,0,Drogaria Globo,Sudeste,São Paulo,1664.0
4519,Allegra 60mg 10 Comprimidos,7891058024314.0,ALLEGRA,"Alívio das manifestações alérgicas tais como:rinite alérgica incluindo espirros,prurido no nariz,no palato, na garganta e nos olhos; coriza; conjuntivite alérgica com sintomas de lacrimejamento e vermelhidão dos olhos; febre do feno; alergias da pele como os da urticária.",46.02,41.99,9,Drogaria Globo,Sudeste,São Paulo,1665.0
4520,Creme Reidratante Corporal Ureax 10% 120g,7898550787853.0,HEALTHY,"Hidratação Intensiva durante e após tratamentos quimioterápicos  Dermatológicamente e Quimicamente testado, Hipoalegênico.",21.29,21.29,0,Drogaria Globo,Sudeste,São Paulo,1666.0
4521,Suplemento Vitamínico Vitasay Mulher A-Z com 30comprimidos,7896094926059.0,VITASAY,"Vitasay A-Z Mulher é um suplemento alimentar em comprimido que ajuda a complementar as necessidade diárias de vitaminas e minerais. Rico em vitamina A, complexo B, C, D e Zinco. Sua fórmula foi desenvolvida para auxiliar o metabolismo energético e no sistema imunológico. Ação antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Contribui para a manutenção do cabelo, da pele e das unhas. Zero Açúcares.",37.39,34.62,7,Drogaria Globo,Sudeste,São Paulo,1667.0
4522,Tylenol 500mg 20 Comprimidos,7891010986155.0,TYLENOL,"Indicado para a redução da febre e alívio temporário da dor leve a moderada, como aquelas associadas a resfriados comuns, dor de cabeça, dor no corpo, dores musculares, dor de dente, dor nas costas, dores leves associadas a artrites e cólicas menstruais.",35.0,32.55,7,Drogaria Globo,Sudeste,São Paulo,1668.0
4523,Histamix 10 mg/ml 12 Comprimidos,7896685301173.0,HEBRON,"Este medicamento é indicado para o alívio dos sintomas associados com a rinite alérgica (por exemplo: febre do feno), como: coceira nasal, nariz escorrendo (coriza), espirros, ardor e coceira nos olhos. Também é indicado para o alívio dos sinais e sintomas da urticária e de outras alergias da pele. Uso oral. Uso adulto e pediátrico acima de 12 anos de idade.",30.11,30.11,0,Drogaria Globo,Sudeste,São Paulo,1669.0
4524,Hidratante Granado Bebê Suave Tradicional 120Ml,7896512944436.0,GRANADO,"Nova fórmula e embalagem: mais prática, com maior volumetria e esgotamento do produto! Alto poder hidratante e nutritivo, enriquecido com manteiga de karité, PCA-NA, óleo de girassol e cera vegetal de candelila (que substitui a cera de abelha). Desenvolvido especialmente para a pele do bebê, deixando-a macia e saudável, com melhor absorção e toque suave",20.99,20.99,0,Drogaria Globo,Sudeste,São Paulo,1670.0
4525,Dipirona Monoidratada 1g Genérico Neo Química 4 Comprimidos,7896714207575.0,DIPIRONA,Dipirona Monoidratada é analgésico (para dor) e antitérmico (para febre).,9.28,8.82,5,Drogaria Globo,Sudeste,São Paulo,1671.0
4526,Absorvente Plenitud Femme Normal Sem Abas 8 Unidades,7896007550999.0,PLENITUD,Possui tecnologia de controle de odores e foi projetado para absorver escapes leves a moderados.,9.39,9.39,0,Drogaria Globo,Sudeste,São Paulo,1672.0
4527,Sérum Capilar Tresemmé Blind Antifrizz 170ml,7891150093836.0,TRESEMME,Sérum Capilar Tresemmé Blind Antifrizz 170ml,26.39,26.39,0,Drogaria Globo,Sudeste,São Paulo,1673.0
4528,Perfume Katy Perry Mad Love Eau de Parfum Feminino 100ml,3614222125167.0,KATY PERRY,"Katy Perry Parfums celebra o espírito exuberante e a ousada visão artística da superestrela global que é Katy Perry. Com embalagens de cores vivas e layouts únicos, os perfumes refletem o estilo ousado e eclético de Katy, suas diferentes facetas e personalidade única. Mad Love Eau de Parfum é uma fragrância sedutora e encantadora viciante desde o início, que o deixará sob seu feitiço. Frutas suculentas se unem com em um floral feminino irresistível da peônia e jasmim, antes de explodir em um quente fascínio de musk e notas amadeiradas. Notas de topo: Sorbet de maçã, morango, toranja rosa suculenta Notas de coração: Flor de Lamprocapnos, pétalas frescas de peônia, jasmim ensolarado Notas de fundo: Sândalo sedutor, musk, madeira de coqueiro Modo de uso Aplicar na pele a uma distância de cerca de 30 cm. Obtenha um efeito mais intenso borrifando suavemente a pele atrás das orelhas e pulsos.",108.99,108.99,0,Drogaria Globo,Sudeste,São Paulo,1674.0
4529,Hidratante Labial Carmed Fini Bananas Incolor Efeito Gloss 10g,7897947601840.0,CARMED,,24.9,24.9,0,Drogaria Globo,Sudeste,São Paulo,1675.0
4530,Matrion 30 Comprimidos,7896094210134.0,MATRION,"O folato (vitamina B9) auxilia no desenvolvimento do tubo neural do bebê, além de reduzir complicações obstétricas como aborto, parto pré maturo e pré eclampsia. Para as mães previne a anemia, além de incluir as vitaminas B6 e B12, vitaminas e sais minerais não produzidas pelo nosso organismo, porém são fundamentais para a mãe nesse período gestacional.",41.79,41.79,0,Drogaria Globo,Sudeste,São Paulo,1676.0
4531,Spray Corporal Antiacne Isdin Oily Skin Acniben+150ml,8429420222212.0,ISDIN,"O Acniben + é um spray corporal da Isdin, desenvolvido especialmente para peles oleosas e acneicas.  Ideal para áreas de difícil alcance, como costas e peito, seu uso reduz a acne do corpo e renova as células da superfície da pele através da esfoliação.",139.79,139.79,0,Drogaria Globo,Sudeste,São Paulo,1677.0
4532,Voric 10mg 20 Comprimidos Sublinguais,7891317028831.0,Voric,Voric 10mg 20 Comprimidos Sublinguais,63.59,51.89,18,Drogaria Globo,Sudeste,São Paulo,1678.0
