Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Gel Lubrificante Íntimo K Med 2 Em 1 200Ml,7896523210582,CIMED,Gel de Massagem e Lubrificante Íntimo 2 em 1 K-Med Frasco 203g,42.09,39.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
SER DESC 10ML C/AG 25X7 DESCARP 932,7898283815021,DESCARPACK,,2.31,2.31,,Santo Remedio,Sudeste,Sao Paulo
"ESPAR NEXCARE MICROPORE BEGE 12X4,5",7891040071791,3M,,11.57,10.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Olla Mix Sensations - 50g,7896222718860,RECKITT BENCKISER OTC,,37.88,22.99,39.0%,Santo Remedio,Sudeste,Sao Paulo
"Compressa De Gaze Cremer 11F 7,5X7,5 5un",7891800197600,CREMER,,3.46,3.29,5.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX LUBRIFICADO TRAD L9P6,7896007202003,BLOWTEX,Preservativo Lubrificado Tradicional Blowtex Pacote Leve 9 Pague 6 Unidades,11.57,10.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Selene Eurofarma Caixa 21 Comprimidos Revestidos,7891317465667,EUROFARMA,,34.48,32.41,6.0%,Santo Remedio,Sudeste,Sao Paulo
BAND-AID TRANSP 10UND-4779,7891010504779,J & J,,9.46,8.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Coletor 70ml com caixa Sanfarma,7898108649800,SANFARMA,,3.15,2.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Bigfral Derma Plus Noturna Md 8 x 8 Un,7896012801888,ONTEX,Fralda Descartável Adulto Bigfral Derma Plus Noturna M 40 a 70kg Pacote 8 Unidades,31.57,29.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Luva Cirurgica Descarpack Tamanho 7 - 1 Par,7898283816288,DESCARPACK,,7.36,7.36,,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Lubri Fik 25G,7896523207834,CIMED,,12.62,11.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Gaze Nexcare Estéril,7891040083046,3M,,5.25,4.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Drospirenona Etinilestradiol 3Mg0 02Mg Com 24 Comprimidos,7894916148108,LEGRAND GENERICO,,70.79,24.99,65.0%,Santo Remedio,Sudeste,Sao Paulo
Água Oxig Farmax 10 V 12X Água Oxigenada Farmax 10Vol,7896902201590,FARMAX,,5.25,4.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Jontex Texturizado - 3 Unidades,7891010799564,RECKITT BENCKISER OTC,,11.57,9.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
Elani Ciclo 21 Comprimidos Revestidos,7896094202900,LIBBS,,67.79,58.98,13.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Olla Play - 3 Unidades,7891035990861,RECKITT BENCKISER OTC,,8.41,4.99,41.0%,Santo Remedio,Sudeste,Sao Paulo
Curativo Band Aid Com 16 Pequeno Ferimento,7891010695415,J & J,,11.57,10.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"Atadura De Crepe Cysne 8Cm X 1,80m",7891800000658,CREMER,"Atadura Cysne Crepom Cremer 8cm x 1,80m Pacote 12,6g",6.31,4.99,21.0%,Santo Remedio,Sudeste,Sao Paulo
Támisa 30 Eurofarma Caixa 21 Dreas,7891317009717,EUROFARMA,Tâmisa 30 Eurofarma Caixa 21 Drágeas,37.12,34.89,6.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Íntimo K Y Original 100G,7891010005047,KY,,41.04,38.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
MONITOR PRES G-TECH PULSO GP300,7898639690609,G TECH,,138.95,109.99,21.0%,Santo Remedio,Sudeste,Sao Paulo
SER DESC 20ML C/AG 25X7 DESCARP 934,7898283815038,DESCARPACK,,3.15,3.15,,Santo Remedio,Sudeste,Sao Paulo
"ESPAR MICROP BEGE 3M NEXCARE 50MMX4,5",7891040124671,3M,,35.78,33.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
TERMOMETRO DIGITAL CLINICO OMRON,073796246280,OMRON,,31.57,29.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Bebida Engov After Citrus 250Ml,7896094919693,HYPERMARCAS CH,,,,,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX SKYN SLECTION SACHE 6UND,7896007201396,BLOWTEX,Preservativo Lubrificado Selection Blowtex Skyn Pacote 6 Unidades,29.99,24.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Engov 12 Comprimidos 15Mg 150Mg 150Mg 50Mg,7896094907294,HYPERMARCAS CH,,15.65,12.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Óleo De Girassol Farmax,7896902210110,FARMAX,,15.78,14.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Previane 20 Legrand Caixa 21 Comprimidos Revestidos,7896004707846,LEGRAND,,39.66,20.99,47.0%,Santo Remedio,Sudeste,Sao Paulo
OLEO DE RICINO 30ML FARMAX,7896902285422,FARMAX,,8.41,7.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Microvlar Caixa 21 Dreas,7896006201618,GENOM,,11.06,8.99,19.0%,Santo Remedio,Sudeste,Sao Paulo
Bigfral Derma Plus XG 8 x 7Un,7896012880197,ONTEX,,25.99,25.99,,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Impermeável Nexcare Bege 25Mmx3M,7891040211531,3M,,15.78,14.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"ESPAR NEXCARE MICROPORE 12X4,5CM-5819",7891040005819,3M,,12.62,10.99,13.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Olla Sensitive - Leve 8 Pague 6 Unidades,7896222718846,RECKITT BENCKISER OTC,,22.09,20.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX SACHE SKYN ELITE 6UN,7896007201983,BLOWTEX,,27.36,25.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Luva De Latex Para Procedimento P Caixa Com 100 Medix,7898947170022,MEDIX,,48.41,48.41,,Santo Remedio,Sudeste,Sao Paulo
Bolsa Para Água Quente Pequena Bc0010 Mercur Lilas,7896342900619,MERCUR,,53.67,50.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Curativo Cremercare Transparente Cremer 10un,7891800341997,CREMER,,6.99,5.49,21.0%,Santo Remedio,Sudeste,Sao Paulo
Luva Cirurgica Descarpack Número 8 - 1 Par,7898283812365,DESCARPACK,,7.36,7.36,,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Jontex Ereção Prolongada - 6 Unidades,7896222720382,RECKITT BENCKISER OTC,,21.04,17.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Jontex Orgasmo em Sintonia - 2 Unidades,7891035990489,RECKITT BENCKISER OTC,,14.73,13.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
BAND-AID TRANSP 40UND-4755,7891010504755,J & J,,17.88,16.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
ESPACADOR CLEAR AER ADU E INF G TECH,7898639693334,G TECH,,59.99,54.99,8.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Íntimo K Med 100G,7896523221724,CIMED,,28.41,27.99,1.0%,Santo Remedio,Sudeste,Sao Paulo
"Desogestrel 0,075Mg 28 Comprimidos Genérico União Química",7896006231103,UNIAO QUIMICA SIMILA,,36.13,16.99,53.0%,Santo Remedio,Sudeste,Sao Paulo
TESTE DE GRAVIDEZ CONFIRA JT DIRETO,7898108640616,SANFARMA,,17.94,14.99,16.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Íntimo Jontex Neutro - Sem Sabor - 100g,7896222720535,RECKITT BENCKISER OTC,,49.46,32.99,33.0%,Santo Remedio,Sudeste,Sao Paulo
Umidificador Ultrassônico G Tech Allergy Free Dual,7898301053282,G TECH,,210.52,199.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Olla Large - 6 Unidades,7896222717955,RECKITT BENCKISER OTC,,21.04,19.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Solomed Seringa Descartável 5Ml Com Agulha 25Mm X 7Mm Bd,7891463006585,BD - SERINGAS E AGULHAS,,5.25,5.25,,Santo Remedio,Sudeste,Sao Paulo
COMP GAZE EST GALDI 11F 20UN,7897594000058,GALDI IND.,,6.31,5.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
BOLSA TERMICA GEL MERCUR PEQ BC0130P50,7896342900831,MERCUR,,13.67,11.99,12.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Dermatológico Acnezil 20G,7896523208282,CIMED,,17.99,16.99,6.0%,Santo Remedio,Sudeste,Sao Paulo
Pedra Hume Farmax Pó 20G,7896902205758,FARMAX,,6.31,5.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Seringa 3 Ml Com Ag Liso Descarpack,7898283815007,DESCARPACK,,2.09,2.09,,Santo Remedio,Sudeste,Sao Paulo
Qlaira Bayer Caixa 28 Comprimidos Revestidos,7891106904582,BAYER,,71.68,62.36,13.0%,Santo Remedio,Sudeste,Sao Paulo
Ciclo 21 Caixa Com 21 Comprimidos Genérico União Química,7896006234067,UNIAO QUIMICA SIMILA,,10.31,8.65,16.0%,Santo Remedio,Sudeste,Sao Paulo
"Levonorgestrel 1,5Mg 1 Comprimido Genérico Cimed",7896523200361,CIMED,,27.85,14.99,46.0%,Santo Remedio,Sudeste,Sao Paulo
ACCU CHEK ACTIVE TIRAS 50-6262,4015630056262,ROCHE DIAGNOSTICOS A,,107.36,91.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
Pedra Hume Farmax Spray,7896902204089,FARMAX,,12.62,11.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
GLICERINA UNIPHAR 100ML,7898031310280,UNIPHAR,,10.52,9.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Uno Ciclo 150 10Mg Ml Sol Inj 1Ml Ser,7897473201712,GLENMARK,,22.08,20.76,6.0%,Santo Remedio,Sudeste,Sao Paulo
Levonorgestrel 1 5Mg Neo Química Caixa 1 Comprimido,7896714213255,NEO QUIMICA GENERICO,"Levonorgestrel 1,5mg Neo Química Caixa 1 Comprimido",27.62,15.99,42.0%,Santo Remedio,Sudeste,Sao Paulo
Amora 2 0 0 03Mg Caixa 21 Comp Rev,7891317004040,EUROFARMA,,46.23,40.22,13.0%,Santo Remedio,Sudeste,Sao Paulo
TIRAS ON CALL PLUS BRAN MEDLEVESOHN 50UN,7908007901142,MEDLEVESOHN,,94.73,89.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
TIPOIA ESTABILIZADORA ESTOF M BC0069REB,7896342452217,MERCUR,,64.2,54.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
LENCO INTIMUS FEMINO CONT ODOR 16UND,7896018700536,KIMBERLY,Lenço Umedecido Íntimo Intimus Defesa Natural Pacote 16 Unidades,11.57,10.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Sanfarma Micropore 25Mmx0 9M,7898060039015,SANFARMA,,8.41,7.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Liberfem Zodiac Caixa 21 Comprimidos Revestidos,7892953003381,ZODIAC,,50.76,44.16,13.0%,Santo Remedio,Sudeste,Sao Paulo
Atadura Crepe Ultralife M,7898108641347,SANFARMA,,5.25,4.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
COMP GAZE EST 400X10 13FIOS CICATRISAN,7898108640111,SANFARMA,,3.46,3.29,5.0%,Santo Remedio,Sudeste,Sao Paulo
Mercur Bolsa Térmica Gel,7896342414413,MERCUR,Bolsa Térmica Gel Mercur Tamanho Médio,26.31,19.99,24.0%,Santo Remedio,Sudeste,Sao Paulo
AGUA OXIGENADA 10V 100ML ALMOTOLIA,7898031310587,UNIPHAR,,6.31,5.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Iumi 24 Comprimidos Revestidos,7896094208094,LIBBS,,71.68,62.36,13.0%,Santo Remedio,Sudeste,Sao Paulo
MONITOR PRES G-TECH BRACO BSP11,7898639690388,G TECH,,203.15,192.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Contracep 150Mg Ml Ems Caixa 1 Ampola De 1Ml Suspensão Injetável,7894916502900,EMS PRESCRICAO,,32.1,32.1,,Santo Remedio,Sudeste,Sao Paulo
Bigfral Derma Plus Pq 8 x 9Un,7896012880166,ONTEX,,25.99,25.99,,Santo Remedio,Sudeste,Sao Paulo
FRAL GER BIGFRAL DERMA PLUS MEGA G 16UND,7896012880210,ONTEX,Fralda Descartável Adulto Bigfral Derma Plus G Pacote 16 Unidades Embalagem Econômica,60.52,57.49,5.0%,Santo Remedio,Sudeste,Sao Paulo
Curativo Antiseptico Cor Da Pele Cicat Com 10 214,7898108640685,SANFARMA,,5.25,5.25,,Santo Remedio,Sudeste,Sao Paulo
"SER DESC 1ML C/AG 13X4,5 P/INSULIN 1560",7898283814703,DESCARPACK,,2.09,2.09,,Santo Remedio,Sudeste,Sao Paulo
TIRA TESTE G-TECH LITE TUBO C/50 TIRAS,7898301059635,G TECH,,94.73,89.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Gracial Schering Plough Caixa 22 Comprimidos,7897337716239,ORGANON BRASIL,Gracial Schering-Plough Caixa 22 Comprimidos,57.76,50.25,13.0%,Santo Remedio,Sudeste,Sao Paulo
Acnen Genom Gel Facial Anti Acne 50Mg 20G,7896006213710,GENOM,,34.3,34.3,,Santo Remedio,Sudeste,Sao Paulo
Modelador De Seios Tradicional N° 44 Lib,7896317884654,LIB PROTETOR SEIOS,,56.99,56.99,,Santo Remedio,Sudeste,Sao Paulo
TORNOZELEIRA ELASTICA PRETA M BC0647BP,7896342452958,MERCUR,,46.31,43.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Kit Medidor De Glicose Accu Chek Active Roche,4015630057955,ROCHE DIAGNOSTICOS A,Monitor para Teste de Glicemia Accu-Chek Active,99.99,89.99,10.0%,Santo Remedio,Sudeste,Sao Paulo
MASSAGEADOR OMRON PORTATIL HV-F013,7898949253105,OMRON,,182.09,172.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Siblima 0 015 Mg 0 06 Mg 24 Comprimidos Libbs Similar,7896094201453,LIBBS,,43.48,37.83,13.0%,Santo Remedio,Sudeste,Sao Paulo
Evra Janssen Caixa 3 Adesivos,7898967006141,GEDEON,Evra Janssen Caixa 3 Adesivos Transdérmicos,138.19,120.23,13.0%,Santo Remedio,Sudeste,Sao Paulo
Level Biolab Caixa 21 Comprimidos Revestidos,7896241248287,BIOLAB SANUS,,28.46,26.75,6.0%,Santo Remedio,Sudeste,Sao Paulo
MEIA MC 7 8 COM SILICONE SEM PONTEIRA TAM M COR MEL,7896191258527,KENDALL,,128.41,111.99,13.0%,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Impermeável Nexcare Branco 12Mm X 3M,7891040089956,3M,,9.46,8.49,10.0%,Santo Remedio,Sudeste,Sao Paulo
Pozato Uni 1 5Mg Libbs Caixa 1 Comprimido Revestido,7896094201644,LIBBS,,33.9,19.9,41.0%,Santo Remedio,Sudeste,Sao Paulo
Curativo Cremercare Redondo-Cart 16un,7891800341966,CREMER,,8.41,7.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX SKYN ORIGINAL L8P6,7896007202096,BLOWTEX,,29.99,24.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Norestin 0 35Mg Biolab Caixa 35 Comprimidos,7896241274903,BIOLAB SANUS,,14.66,14.66,,Santo Remedio,Sudeste,Sao Paulo
Meia MC 3/4 s/pronteira tam G cor Mel,7896191246166,KENDALL,,81.04,76.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Ginesse 0 075 0 020Mg Caixa 63 Comp Rev,7898040322328,FQM,,84.27,73.31,13.0%,Santo Remedio,Sudeste,Sao Paulo
ATAD ELASTICA SANFARMA,7898108612347,SANFARMA,,37.88,35.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Bigfral Derma Plus Noturna Gd 8 x 7Un,7896012801895,ONTEX,Fralda Descartável Adulto Bigfral Derma Plus Noturna G 70 a 90kg Pacote 7 Unidades,31.57,29.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"SER INS ULTRAFINE 1,0ML 6MM 10UND",0382903249183,BD - SERINGAS E AGULHAS,,54.99,44.99,18.0%,Santo Remedio,Sudeste,Sao Paulo
Támisa 15 Eurofarma Caixa 28 Comprimidos Revestidos,7891317003067,EUROFARMA,,28.24,26.55,6.0%,Santo Remedio,Sudeste,Sao Paulo
Cerazette 75Mcg Schering Plough Caixa 28 Comprimidos Revestidos,7897337716215,ORGANON BRASIL,,57.65,50.16,13.0%,Santo Remedio,Sudeste,Sao Paulo
Luva De Latex Para Procedimento G Caixa Com 100 Medix,7898947170046,MEDIX,,48.41,48.41,,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Jontex Lubrificado - 3 Unidades,7891010020156,RECKITT BENCKISER OTC,,11.57,9.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX MORANGO 6UND,7896007200900,BLOWTEX,,11.57,11.57,,Santo Remedio,Sudeste,Sao Paulo
ACCU CHEK SOFTCLIX AGULHA 25,4015630018277,ROCHE DIAGNOSTICOS A,,25.25,23.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"ESPAR MICROP BEGE 25MX4,5M-2517 3M",7891040042517,3M,"Fita Micropore Bege Original Nexcare 25mm x 4,5m",17.88,16.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Nexcare Fita Protetora Para Os Pés,7891040137077,3M,Fita Adesiva Protetora para os Pés Nexcare 25mm x 3m,18.94,17.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Ginesse Fqm Caixa 21 Comprimidos Revestidos,7898040320584,FQM,,39.34,36.98,6.0%,Santo Remedio,Sudeste,Sao Paulo
Preservativo Camisinha Jontex Lubrificado XL - 3 Unidades,7896222720429,RECKITT BENCKISER OTC,,11.57,10.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Água Oxigenada 10 Vol Spray Adv 100Ml,7896230301412,ADV,Água Oxigenada 10 Volumes Spray Antisséptico Adv Farma Frasco 100ml,14.73,13.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
CURAT PROVA D'AGUA 15UN,7891040138425,3M,,22.09,20.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Primera 20 Eurofarma Caixa 21 Comprimidos,7891317177645,EUROFARMA,,42.03,36.57,13.0%,Santo Remedio,Sudeste,Sao Paulo
Gel Lubrificante Íntimo Jontex Neutro - Sem Sabor - 50g,7896222720528,RECKITT BENCKISER OTC,,28.41,26.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Nactali 75Mcg Libbs Caixa 28 Comprimidos Revestidos,7896094208117,LIBBS,,45.8,39.85,13.0%,Santo Remedio,Sudeste,Sao Paulo
Bicarbonato De Sódio 100Gr,7896902206380,FARMAX,,8.41,7.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Cremer Salvelox 10un,7891800628425,CREMER,,6.31,5.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Luva De Latex Para Procedimento M Caixa Com 100 Medix,7898947170039,MEDIX,,48.41,48.41,,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Impermeável Cremer,7891800364804,CREMER,,17.88,16.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Bolsa Termogel Térmica Grd,7896085111129,TERMOGEL,,23.15,21.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Elani 28 Libbs Caixa 28 Comprimidos Revestidos,7896094207516,LIBBS,Elani 28 Libbs Caixa 28 Comprimidos Revestidos,90.44,78.68,13.0%,Santo Remedio,Sudeste,Sao Paulo
ROUPA INTIMA PLENITUD PROTECT PLUS GXG LEVE24PAGUE22,7896007550005,KIMBERLY,,109.99,101.99,7.0%,Santo Remedio,Sudeste,Sao Paulo
Vaselina Sólida Farmax 25G,7896902214859,FARMAX,,7.36,6.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
ABS PLENITUD FEMME INCONTINENCIA NOTURNO 8 UNDS,7896007551002,KIMBERLY,Absorvente sem Abas para Incontinência Noturno Moderada à Intensa Plenitud Femme Pacote 8 Unidades,14.73,13.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
CURAT 3M MICROPORE 10UND-1107,7891040111107,3M,,7.36,6.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Ricca R 3704 Lenco De Papel Com 10,7897517937041,BELLIZ COMPANY IND,,3.46,3.29,5.0%,Santo Remedio,Sudeste,Sao Paulo
Órtese Punho Com Tala Bilateral Bc0656 Mercur,7896342452194,MERCUR,,61.04,44.99,26.0%,Santo Remedio,Sudeste,Sao Paulo
Támisa 30 Sem Parar Eurofarma Caixa 84 Dreas,7891317009755,EUROFARMA,,117.67,102.37,13.0%,Santo Remedio,Sudeste,Sao Paulo
Esparadrapo Sanfarma Micropore 25Mmx4 5,7898060034515,SANFARMA,,17.88,16.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Pasta D Água Mentolada Adv,7896230300941,ADV,,18.94,17.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
VIOLETA GENCIANA 30ML UNIPHAR,7898031311034,UNIPHAR,,6.31,6.31,,Santo Remedio,Sudeste,Sao Paulo
Pérola 75Mcg Msd Caixa 28 Comprimidos Revestidos,7897337713382,SUPERA FARMA,,46.57,40.52,13.0%,Santo Remedio,Sudeste,Sao Paulo
MASCARA DESCARTAVEL TRIPLA C/ELASTICO BRANCA 50UN,7898706040009,MEDWAY,,22.09,20.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Tamisa 20 0 02 Mg 0 075 Mg 63 Dreas Eurofarma Similar,7891317444952,EUROFARMA,,88.26,76.79,13.0%,Santo Remedio,Sudeste,Sao Paulo
Tiras Para Controle De Glicemia Accu Chek Guide 50 Tiras,4015630066841,ROCHE DIAGNOSTICOS A,Tira para Teste de Glicemia Accu-Chek Guide 50 Unidades,103.15,101.99,1.0%,Santo Remedio,Sudeste,Sao Paulo
Tantin Biolab Caixa 28 Comprimidos Revestidos,7896112424123,BIOLAB SANUS,,28.2,26.51,6.0%,Santo Remedio,Sudeste,Sao Paulo
"Atadura Cremer Crepe Cysne 10Cmx1,8m",7891800000665,CREMER,,7.36,6.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Indux 50Mg Ems Caixa 10 Comprimidos,7894916501408,EMS PRESCRICAO,,73.41,63.87,13.0%,Santo Remedio,Sudeste,Sao Paulo
Tamisa 20 0 02 Mg 0 075 Mg 21 Dreas Eurofarma Similar,7891317008888,EUROFARMA,,37.12,34.89,6.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV JONTEX SENS INVISIV 4UN,7891035991127,RECKITT BENCKISER OTC,,38.94,36.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Regulador Intestinal FIBERMAIS Colágeno Mix de Fibras Sabor Limão 60g,7891000256794,NESTLE,,48.41,45.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Stezza Msd Caixa 28 Comprimidos Revestidos,5060632508768,THERAMEX,Stezza MSD Caixa 28 Comprimidos Revestidos,58.66,51.03,13.0%,Santo Remedio,Sudeste,Sao Paulo
Ferane 35 Mabra Caixa 21 Comprimidos Revestidos,7908020502630,CIFARMA,Ferane 35 Mabra Caixa 21 Comprimidos Revestidos!,34.7,32.62,6.0%,Santo Remedio,Sudeste,Sao Paulo
PASTA D'AGUA 100ML UNIPHAR,7898031310709,UNIPHAR,,9.46,8.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
TIRA TESTE G-TECH LIT L3P2 TIRAS,7898639691491,G TECH,,179.99,149.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Absorvente para Seios Cremer 12un,7891800386776,CREMER,,18.94,16.99,10.0%,Santo Remedio,Sudeste,Sao Paulo
MUNHEQUEIRA C/POLEGAR AJUSTAVEL,7898336430928,HIDROLIGHT,,41.04,38.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
"Esparadrapo Salvelox Impermeável 2,5x4,5m",7891800628401,CREMER,,7.36,6.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
MASCARA INALADOR ADULTO C-920 OMROM,073796920210,OMRON,,45.25,40.99,9.0%,Santo Remedio,Sudeste,Sao Paulo
ACCU CHEK ACTIVE TIRAS 25 NOVO,4015630064175,ROCHE DIAGNOSTICOS A,,79.99,69.99,13.0%,Santo Remedio,Sudeste,Sao Paulo
PEDRA HUME SOL SPRAY 30ML,7898031310891,UNIPHAR,,9.46,8.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Roupa Íntima Tena Pants Confort Tamanho G/EG 24 Unidades,7896770980177,ESSITY,"""Roupa Íntima Descartável TENA Pants Confort é uma roupa íntima descartável e unissex de rápida absorção, proporcionando ao usuário ativo ou com pouca mobilidade facilidade de uso, discrição e segurança.
É indicado para perdas de urina moderada a severa.
• Núcleo de Ultra Absorção Acquidry;
• Odour Neutralizer™ - Sistema que neutraliza o risco de odores indesejáveis;
• Material Macio - suave ao contato com a pele;
• Mais elásticos em volta da cintura permitindo uma adaptação perfeita ao corpo;
• Elásticos duplos nas pernas para um melhor conforto e segurança contra vazamentos;
• Costuras laterais removíveis para retirar o produto com maior facilidade.""",94.73,89.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
PRESERV BLOWTEX SKYN 6UND,7896007200887,BLOWTEX,,29.99,24.99,17.0%,Santo Remedio,Sudeste,Sao Paulo
Pietra ED 2mg Caixa com 90 Comprimidos,7891317020651,EUROFARMA,,158.05,137.5,13.0%,Santo Remedio,Sudeste,Sao Paulo
Iumi ES Libbs Caixa 120 Comprimidos Revestidos,7896094210295,LIBBS,,243.85,163.99,33.0%,Santo Remedio,Sudeste,Sao Paulo
Elani Ciclo Libbs Caixa 3 Cartelas Com 21 Comprimidos Revestidos,7896094203051,LIBBS,,172.92,150.44,13.0%,Santo Remedio,Sudeste,Sao Paulo
Solução Multiuso Para Lente De Contato Renu Advanced 335Ml 120Ml Estojo,7896046383015,BAUSCH & LOMB (RENU),,73.91,53.84,27.0%,Santo Remedio,Sudeste,Sao Paulo
LENCO PAPEL KLEENEX SEM PERF BOLSO 10UND,7891172171666,KIMBERLY,,3.46,3.29,5.0%,Santo Remedio,Sudeste,Sao Paulo
Belara Grenthal Caixa 21 Comprimidos Revestidos,7898582380183,GEDEON,,63.46,55.21,13.0%,Santo Remedio,Sudeste,Sao Paulo
Óleo Mineral Natural Farmax 100Ml,7896902207523,FARMAX,,13.67,12.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Creme Acnase Lapiseira Secativa Biolab 0 3G,7896082900504,BIOLAB SANUS,,35.35,26.39,25.0%,Santo Remedio,Sudeste,Sao Paulo
Liberfem 2 0 03Mg Caixa 63 Comp Rev,7892953003398,ZODIAC,,138.67,120.64,13.0%,Santo Remedio,Sudeste,Sao Paulo
BALANCA DIGITAL OMRON HN-289,073796842895,OMRON,Balança Digital HN-289 0 a 150kg Omron,117.88,111.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Microvlar 0 15 0 03Mg Drg Ct Bl Calend Al Plas Tr X 63,7896006201632,GENOM,,28.22,26.53,6.0%,Santo Remedio,Sudeste,Sao Paulo
TIRA TESTE G-TECH FREE L3P2 TIRAS,7898639691484,G TECH,,191.99,189.99,1.0%,Santo Remedio,Sudeste,Sao Paulo
